0.025 0.158 0.054
0.025 0.194 0.081
0.025 0.224 0.127
0.025 0.25 0.241
0.025 0.274 0.23900000000000002
0.025 0.296 0.313
0.025 0.316 0.451
0.025 0.335 0.333
0.025 0.354 0.433
0.025 0.371 0.444
0.025 0.387 0.6
0.025 0.403 0.659
0.025 0.418 0.637
0.025 0.433 0.629
0.025 0.447 0.532
0.025 0.461 0.833
0.025 0.47400000000000003 0.8140000000000001
0.025 0.487 0.806
0.025 0.5 0.741
0.025 0.512 0.864
0.025 0.524 0.56
0.025 0.536 1.0090000000000001
0.025 0.548 0.866
0.025 0.559 0.837
0.025 0.5700000000000001 1.106
0.025 0.581 1.037
0.025 0.592 1.075
0.025 0.602 0.904
0.025 0.612 1.24
0.025 0.622 0.81
0.025 0.632 0.861
0.025 0.642 0.85
0.025 0.652 0.897
0.025 0.661 0.853
0.025 0.671 1.022
0.025 0.68 1.041
0.025 0.6890000000000001 0.722
0.025 0.6980000000000001 0.788
0.025 0.707 0.9540000000000001
0.025 0.716 1.01
0.025 0.725 0.742
0.025 0.733 0.68
0.025 0.742 0.8300000000000001
0.025 0.75 0.748
0.025 0.758 0.724
0.025 0.766 0.461
0.025 0.775 0.706
0.025 0.783 0.535
0.025 0.791 0.541
0.025 0.798 0.427
0.025 0.806 0.42
0.025 0.8140000000000001 0.337
0.025 0.8220000000000001 0.306
0.025 0.8290000000000001 0.178
0.025 0.837 0.23900000000000002
0.025 0.844 0.266
0.025 0.851 0.161
0.025 0.859 0.097
0.025 0.866 0.041
0.038 0.158 0.054
0.038 0.194 0.097
0.038 0.224 0.13
0.038 0.25 0.254
0.038 0.274 0.187
0.038 0.296 0.365
0.038 0.316 0.47600000000000003
0.038 0.335 0.34600000000000003
0.038 0.354 0.481
0.038 0.371 0.507
0.038 0.387 0.632
0.038 0.403 0.671
0.038 0.418 0.727
0.038 0.433 0.531
0.038 0.447 0.516
0.038 0.461 0.7020000000000001
0.038 0.47400000000000003 0.9540000000000001
0.038 0.487 0.774
0.038 0.5 0.8
0.038 0.512 0.849
0.038 0.524 0.585
0.038 0.536 0.705
0.038 0.548 0.867
0.038 0.559 0.866
0.038 0.5700000000000001 1.12
0.038 0.581 1.124
0.038 0.592 0.924
0.038 0.602 0.842
0.038 0.612 1.127
0.038 0.622 0.797
0.038 0.632 0.492
0.038 0.642 0.784
0.038 0.652 0.886
0.038 0.661 1.
0.038 0.671 0.936
0.038 0.68 1.006
0.038 0.6890000000000001 0.771
0.038 0.6980000000000001 0.803
0.038 0.707 0.883
0.038 0.716 0.871
0.038 0.725 0.796
0.038 0.733 0.749
0.038 0.742 0.799
0.038 0.75 0.796
0.038 0.758 0.764
0.038 0.766 0.559
0.038 0.775 0.802
0.038 0.783 0.614
0.038 0.791 0.498
0.038 0.798 0.53
0.038 0.806 0.448
0.038 0.8140000000000001 0.321
0.038 0.8220000000000001 0.336
0.038 0.8290000000000001 0.223
0.038 0.837 0.192
0.038 0.844 0.298
